Reaction Date,Reaction Type,Parent Type,Parent ID
"Oct 21, 2014, 4:41:55 AM",Kudos,Activity,209843822
"Oct 22, 2014, 12:28:47 PM",Kudos,Activity,210263298
"Oct 22, 2014, 12:28:49 PM",Kudos,Activity,210187422
"Oct 23, 2014, 2:13:27 PM",Kudos,Activity,210536638
"Oct 27, 2014, 2:46:15 AM",Kudos,Activity,210864113
"Oct 27, 2014, 2:46:16 AM",Kudos,Activity,211561412
"Oct 27, 2014, 2:46:18 AM",Kudos,Activity,211601013
"Oct 27, 2014, 2:46:21 AM",Kudos,Activity,212060317
"Oct 27, 2014, 2:46:23 AM",Kudos,Activity,212141530
"Oct 31, 2014, 3:20:29 AM",Kudos,Activity,213715524
"Oct 31, 2014, 3:20:31 AM",Kudos,Activity,213719642
"Oct 31, 2014, 3:20:33 AM",Kudos,Activity,213715480
"Nov 4, 2014, 3:32:07 AM",Kudos,Activity,215281439
"Nov 4, 2014, 3:32:07 AM",Kudos,Activity,215280871
"Nov 5, 2014, 7:05:18 PM",Kudos,Activity,215633003
"Nov 5, 2014, 7:05:20 PM",Kudos,Activity,215623056
"Nov 7, 2014, 5:12:39 AM",Kudos,Activity,216361395
"Nov 9, 2014, 3:33:33 AM",Kudos,Activity,216993643
"Nov 9, 2014, 12:59:17 PM",Kudos,Activity,217059326
"Nov 11, 2014, 1:16:06 PM",Kudos,Activity,217877949
"Nov 11, 2014, 1:16:15 PM",Kudos,Activity,217941790
"Nov 13, 2014, 5:27:06 PM",Kudos,Activity,218672098
"Nov 13, 2014, 5:27:12 PM",Kudos,Activity,218289510
"Nov 15, 2014, 4:15:41 AM",Kudos,Activity,219278020
"Nov 15, 2014, 4:15:43 AM",Kudos,Activity,219273555
"Nov 19, 2014, 4:04:47 AM",Kudos,Activity,220769834
"Nov 19, 2014, 4:04:49 AM",Kudos,Activity,220779624
"Nov 19, 2014, 4:33:03 PM",Kudos,Activity,220764535
"Nov 25, 2014, 3:44:26 AM",Kudos,Activity,222915902
"Nov 25, 2014, 3:44:40 AM",Kudos,Activity,222922193
"Nov 26, 2014, 1:19:16 PM",Kudos,Activity,223201799
"Nov 28, 2014, 3:05:02 AM",Kudos,Activity,223877129
"Nov 29, 2014, 2:18:26 AM",Kudos,Activity,224144698
"Nov 29, 2014, 2:18:27 AM",Kudos,Activity,224144937
"Dec 2, 2014, 5:25:59 AM",Kudos,Activity,225350376
"Dec 5, 2014, 10:45:40 PM",Kudos,Activity,226310965
"Dec 7, 2014, 2:49:53 PM",Kudos,Activity,226891508
"Dec 7, 2014, 2:49:54 PM",Kudos,Activity,226882322
"Dec 8, 2014, 4:44:54 PM",Kudos,Activity,227317522
"Dec 9, 2014, 4:39:07 AM",Kudos,Activity,227655166
"Dec 9, 2014, 4:39:08 AM",Kudos,Activity,227658497
"Dec 9, 2014, 4:39:10 AM",Kudos,Activity,227654024
