Media Filename,Media Caption
media/2D3F4243-4B92-489F-A9EF-B3FCCBB1CDCB.jpg,Sandy
media/25D4BE56-5A6E-42A0-9112-E24A7F5B0738.jpg,"So green, but a lot of it is poison oak"
media/FF9C0956-35BB-41A6-800A-4B08EB04CCF7.jpg,The short fire road climb to the top
media/B930E3A4-B3D1-44C0-BBB1-F1E99166455A.jpg,Da bay
media/FAFAF6C2-E80E-4D21-942F-9AFD3AB0610F.jpg,""
media/F980946C-0B4F-4DB3-B68C-1C4687DA9C77.jpg,Looking to the ocean
media/F32EEA5E-344C-4B1F-BBF4-3FBE2A18768F.jpg,Borel hill
media/C42A6C90-4E69-427E-9336-6E75BED3546E.jpg,Dis mine!
media/A82BF97B-5A27-4889-B225-F36906A58361.jpg,Lights out
media/3EDBD1C5-F9A4-4E52-B295-F92E572046FF.jpg,Mission peak with Diablo in the background
media/D7A4064C-77C6-4544-8F6C-B97A5BE72DF3.jpg,The trail system
media/893C64F2-3D4F-4B11-B4EE-E452AD60C57A.jpg,Purps
media/6BE8C2AD-53A5-42E6-8EAF-65D8AA3C4E54.jpg,Way up there
media/2395B6DD-D12D-4DA6-AB45-1FFF54029115.jpg,Alum Rock canyon and San Jose
media/B0375A48-7598-4DEB-A126-08B6F222B4CE.jpg,Suns going down
media/D8729A3D-A94C-425B-806F-42B9A2048BBD.jpg,To the south
media/6EEAAFE8-D70A-4EAD-A639-9C75800AD9DC.jpg,Going back across the bridge
media/9C95C80A-7939-40E2-9DF2-CFE947A8615E.jpg,Alum Rock canyon
media/166C31F0-0FE5-4FB6-AC31-F49BAE1FF09B.jpg,The trail I came down
media/56F91488-7FD4-40E8-B306-8E176F76A433.jpg,My turn around point
media/0454ED47-D133-4C0F-BC49-D5E1CA79EA97.jpg,Bridge
media/BE948F8E-8D78-4E39-A5B9-41B9C1A292FF.jpg,The more you know. . .
media/E24B71A2-2ECD-4C06-AD23-5BC5E03706A9.jpg,Switchbacks
media/B1748252-32A1-45F6-A645-7EA667BA8C9C.jpg,The back side of the Sierra vista trail
media/DFB599D0-055F-45D0-B35F-65F438A7D151.jpg,And more
media/E5D2F4B0-67AD-4DDC-8762-A08078A4E2F7.jpg,And more
media/6F153F86-271F-4648-93F1-6CA9548301D0.jpg,And more
media/1761838C-7AF7-4506-B19C-8EEE4AF9E8B6.jpg,To the south
media/A3D14D8C-3744-46DA-9880-477E032591CD.jpg,Sierra vista trail
media/7B0FC1F1-DAA5-43AB-B579-F41A3E3E1FFD.jpg,Perfect spot for a nap
media/2B5F9E3C-7383-4458-8857-CE4A38069258.jpg,And more
media/597C1DF5-985F-4ECE-9763-8777811CE9F6.jpg,On the Sierra vista trail
media/2A710C4C-F407-4A15-A623-2447D054461E.jpg,San Jose through a small canyon
media/F44A79E9-78F2-4632-9748-79D7A68FE41C.jpg,At the vista spot looking up to mission peak and the tip of Diablo further back
media/27DB0529-A939-4D35-BA2B-30502748002F.jpg,At the vista spot with mt Hamilton in the background
media/0C4BB207-31E8-4F4D-BB42-E104096DE6C0.jpg,At the vista spot looking over south San Jose
media/048A28F2-8543-4207-9264-33E0F37D841C.jpg,At the vista spot looking over San Jose
media/77578560-DF00-485F-8664-4A1E7FCCC6EE.jpg,Under the shady tree
media/C683BB18-21CA-4506-B7D3-576F0794205E.jpg,Sempervirens falls from above
media/889C16D9-2892-424A-A385-04AD1D841C37.jpg,Sempervirens falls from the deck
media/402084C8-428B-46B2-B2E0-EA62F207F536.jpg,""
media/FFEF1087-882D-4B92-A39E-64CAAEA1B2C4.jpg,""
media/35968588-0015-4051-A18D-13E72D66136B.jpg,""
media/C21ECE00-E4C5-4D92-9561-204689309754.jpg,""
media/EE852CC3-FC2B-4C7F-9378-777200AA1BA9.jpg,""
media/422E6534-D5B6-428F-8455-CB9ECC1033DB.jpg,""
media/23ECA3FF-AE48-493A-92F9-6A5EDF12BE8E.jpg,""
media/2D988ED1-89C8-45C1-8344-846B03BA8F87.jpg,""
media/57330098-560D-445C-8CBB-065B562E4BBE.jpg,""
media/DBCD442B-B8F4-41CC-9AC7-43E4D3E0C1D5.jpg,""
media/7F3ECCF0-EB2E-4207-BBA5-2D1D2E8CAFBB.jpg,""
media/3A6889FA-2257-4E84-9054-4CA37092E940.jpg,""
media/DD37CE99-5E9A-4995-9214-96E00E26E677.jpg,""
media/48DD4BA8-7843-45CD-A3C1-71C7580FEB91.jpg,""
media/9635A878-6729-49B1-8FC2-D2A617EB0733.jpg,""
media/680DADF3-F15E-4DA3-9F66-5630BF67CFA5.jpg,""
media/5EB3BD30-E1A2-475B-B0BB-22057019DB99.jpg,""
media/85300190-D132-487C-9156-A62454574D41.jpg,""
media/DC9749ED-6A7C-4EE3-8E3D-B91F6408CF78.jpg,""
media/E4438E74-AF41-4B61-83BD-8FD1901EEA2D.jpg,""
media/C25554AC-EB5E-4264-A2FA-561DD885A7C2.jpg,""
media/0AFE8491-98E8-41A9-B4EF-E6227EC39956.jpg,""
media/FBB4F2E1-D78A-40CB-96E1-5D1AFC2FFA1E.jpg,""
